,Price,Milage,Color,Production,Transmission,Description
25,"
      توافقی","60,000 کیلومتر",سفید,"
      1395
    ",دنده ای,موتور ملی بیمه تا برج 12 موتور و گیربکس سالم  سند تک برگ
26,"455,000,000","90,000 کیلومتر",سفید,"
      1396
    ",دنده ای,توربوشارژ فول .ماشین دوم خانواده و بسیار تمیزو سالم می باشد.تمام قطعات مصرفی مانند روغن و فیلتر و لنت ترمز وتسمه تایم بموقع تعویض شده و در حال حاضر هیچ خرجی ندارد.حتی لاستیکها هم بتازگی تعویض شده است و ماشین از لحاظ فنی و همچنین بدنه صد در صد سالم است.8 ماه هم بیمه دارد.به شرط سلامت و کارشناسی
27,"
      توافقی",کارکرد صفر,سفید,"
      1401
    ",دنده ای, خوابیده در پارکینگ 
28,"
      توافقی","135,000 کیلومتر",سفید,"
      1395
    ",دنده ای, بدون خط و خش موتور بوش بیمه ۹ ماه لاستیک نو ، ده روز پیش خریداری شد فنی فوق العاده سالم بدلیل برنده شدن دنا پلاس مجبورم بفروشم
29,"305,000,000","190,000 کیلومتر",سفید,"
      1394
    ",دنده ای,مولتی پلکس زیمنس رینگ بروک آلمان لاستیک ۸۵٪ قفل رینگ  سیستم صوتی پایونیر دزدگیر مجیکار تصویری روکش چرم  قطعات مصرفی تعویض شده بیمه ۲ماه
30,"500,000,000",کارکرد صفر,سفید,"
      1402
    ",دنده ای,اتو گالری بی نظیر به شرط کارشناسی  سند آزاد و قابل انتقال   بیمه و گارانتی  مشاور شما:شجری
31,"
      توافقی","195,000 کیلومتر",سفید,"
      1393
    ",دنده ای, بسیار تمیز . رنگ سپر فابریک . بی عیب و نقص  . بدون نقطه . قیمت مناسب برای مصرف کننده . دارای برگه ی کارشناسی . آماده بازدید و سند
32,"312,000,000","214,000 کیلومتر",سفید,"
      1394
    ",دنده ای," بیمه تا برج ۱۰, شاسی ها سالم و پلمپ گلگیر جلو سمت راننده رنگ داره - دارای: روکش چرم صندلی، دزدگیر تصویری، کفپوش سرتاسری داخل کابین به علاوه کفپوش سه بعدی، کفپوش صندوق عقب ، شیشه ها دودی، لاستیک 205 - تمام مصرفی ها تازه تعویض شده - باتری ۱۴ ماه گارانتیش مونده - ماشین کارمندی و سالم و آماده استفاده میباشد "
33,"
          246,000,000
        ",کارکرد صفر,سفید,"
      1399
    ",دنده ای,سند به نام....نرخ سود بانکی....شروع اقساط ۲ ماه بعد از تحویل خودرو.......پرداخت وام به خودروهای دست دوم.......
34,"320,000,000","128,000 کیلومتر",سفید,"
      1395
    ",دنده ای,خودرو فوق العاده سالم بدون خرج فنی عالی لاستیک ۲۰۵ روکش چرم کفی  تیکه چرم شیشه دودی
35,"247,000,000","300,000 کیلومتر",خاکستری,"
      1388
    ",دنده ای,باسلام موتور ماشین پارسال تعمیرکامل کردم گیربکس و دیسک و صحفه هم ۳ ماه تعویض کردم کفپوش و روکش،دور فرمانی چرم،داشبورت بدون ترک،ضبط و باند،شیشه دودی امریکایی به رنگ خود ماشین ،باطری هفته پیش انداختم،جلوبندی صفرتا صد تعمیر شده یه جفت لاستیکش خوبه یه جفت دیگه ۶۰_۷۰% خوش رخ و زیبا بدون افتاب سوختگی،در کل اسب زین کرده هست برای هرکی قسمتش باشه اماده مسافرت و جاده مناسب مصرف کننده ،بدرد دلال محترم  نمیخوره. سندو مدارک تکمیل اماده انتقال. مشتری واقعی تماس بگیره.
36,"
          340,000,000
        ",کارکرد صفر,سفید,"
      1402
    ",دنده ای,((نقد و اقساط )) (( تحویل آنی )) (( سند به نام خریدار )) (( بدون نیاز به ضامن )) (( امکان تسویه زود تر از م‌عد با کسر سود))
37,"390,000,000","70,000 کیلومتر",سفید,"
      1399
    ",دنده ای,
38,"
      توافقی","47,000 کیلومتر",سفید,"
      1398
    ",دنده ای, فوق العاده تمیز . روکش صندلی .شاسی ها پلمپ . آماده سند
39,"330,000,000","160,000 کیلومتر",سفید,"
      1394
    ",دنده ای,سند دست اول است. ۱۱ ماه بیمه دارد. لاستیک نو ۹۸ ٪ . فنی سالم ماشین بسیار سلامت است
40,"370,000,000","180,000 کیلومتر",خاکستری,"
      1397
    ",دنده ای,از صفر دست خودم بوده رینگ آلومینیومی صلیبی کفپوش 3D داخل کابین و صندوق تخفیف پای معامله
41,"
      توافقی","160,000 کیلومتر",سفید,"
      1395
    ",دنده ای, روکش صندلی  دودی هدلایت منبع اگزوز HKS همه روشه ماشین از پشت ضربه خورده با مشتری واقعی کنار میایم با تشکر
42,"380,000,000","240,000 کیلومتر",سفید,"
      1397
    ",دنده ای,ماشین فوق‌العاده سالم تماس سرویس ها به موقع  انجام شده 
43,"395,000,000","112,000 کیلومتر",سفید,"
      1397
    ",دنده ای,
44,"
      توافقی",کارکرد صفر,سفید,"
      1402
    ",دنده ای, فول آپشن پشتی برقی صندلی‌های جلو، تهویه اتوماتیک، دوربین و سنسور پارک عقب، نمایشگر لمسی، چراغ روشنایی روز جلو و همزمان چراغ عقب، رینگ آلومینیومی، آینه‌های تاشو برقی گرم‌کن‌دار، کنترل سیستم صوتی از روی فرمان، کروز کنترل، ترمزهای دیسکی جلو و کاسه از عقب، زیر آرنجی جلو و عقب، ترمز ABS و EBD، فرمان هیدرولیک، شیشه‌های عقب دودی، 2 ایربگ ایمنی مدل مهر ۱۴۰۲ پیام و تماس پاسخگو هستم متشکرم
45,"315,000,000","203,000 کیلومتر",سفید,"
      1395
    ",دنده ای, تک برگ سند.  تمام وسایل مصرفی تعویض شده. بیمه تا برج ۲ سال اینده فروش نقدی یا معاوضه با دنا پلاس توریو اتومات صفر
46,"510,000,000",کارکرده,خاکستری,"
      1399
    ",دنده ای, فنی درجه یک.کارت سوخت پلمب.بدونه خط خش و نقطه.با لوازم.روکش فرمان چرم .روکش صندلی.کفی ۳ بعدی.کفی صندوق عقب.ماشین بدونه مشابه صفر واقعی.فقط مصرف کننده.خرید =تعویض پلاک
47,"320,000,000","146,000 کیلومتر",سفید,"
      1396
    ",دنده ای,بسیار سالم  رنگ شدگی فقط قسمت جلویی کاپوت می باشد
48,"215,000,000","390,000 کیلومتر",سفید,"
      1388
    ",دنده ای,
49,"250,000,000","124,000 کیلومتر",سفید,"
      1390
    ",دنده ای,کم کارکرد
